review_key,official_reference,category,published_location,funding_year,status,official_url
22PB0018|2022|Apayao River|82+292-82+592,22PB0018,flood control/drainage,"Barangay Nagbabalayan, Kabugao, Apayao",2022,completed as reported 2022-11-28,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
22PB0023|2022|Sicapo River|88+632-88+932,22PB0023,flood control/drainage,"Kabugao, Apayao",2022,completed as reported 2023-04-30,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
22PB0024|2022|Madduang River|84+680-84+835,22PB0024,flood control/drainage,"Madduang, Kabugao, Apayao",2022,completed as reported 2023-03-28,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
23PB0002|2023|Badduat River|83+292-83+532,23PB0002,flood control/drainage,"Badduat, Kabugao, Apayao",2023,completed as reported 2023-09-08,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
23PB0014|2023|Badduat River upstream|83+232-83+292,23PB0014,flood control/drainage,"Badduat, Kabugao, Apayao",2023,completed as reported 2023-12-07,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
23PB0017|2023|Madduang River|88+535-89+633,23PB0017,flood control/drainage,"Madduang, Kabugao, Apayao",2023,completed as reported 2023-11-22,https://services1.arcgis.com/IwZZTMxZCmAmFYvF/arcgis/rest/services/FloodControl_Data_20250802_v6_corrected_coordinates_for_uploading/FeatureServer/0
23PB0015|2023|Madduang-Dagara-Maragat-Abra Boundary,23PB0015,roads/bridges,"Kabugao, Apayao",2023,completed as reported 2023-11-23,https://www.dpwh.gov.ph/dpwh/sites/default/files/references/cpes_consolidation_3q_and_4q_2023_-_ims.pdf
21PB0002|2021|Apayao-Ilocos Norte Road|K0634-K0635,21PB0002,roads/bridges,"Kabugao, Apayao",2021,completed as reported 2022-03-28,https://www.dpwh.gov.ph/dpwh/sites/default/files/references/cpes_consolidation_2022_jan_to_may_ims.pdf
22PB0002|2022|Apayao-Ilocos Norte Road|K0621+290-K0621+390,22PB0002,roads/bridges,"Kabugao, Apayao",2022,ongoing as reported 2022-10-22,https://www.dpwh.gov.ph/dpwh/sites/default/files/references/cpes_consolidation_2022_sept_to_dec_ims.pdf
P00631689LZ|2022|Badduat Livelihood Building,P00631689LZ,public buildings,"Kabugao, Apayao (barangay not stated in the reviewed row)",2022,not stated,https://www.dpwh.gov.ph/dpwh/sites/default/files/gaa_2022_car.pdf
P00633404LZ|2022|Multi-Purpose Building|Bulu,P00633404LZ,public buildings,"Barangay Bulu, Kabugao, Apayao",2022,not stated,https://www.dpwh.gov.ph/dpwh/sites/default/files/gaa_2022_car.pdf
FY2026|bridge phase II|Sta. 0+600-0+850,,roads/bridges,"Kabugao, Apayao",2026,not stated,https://www.dbm.gov.ph/wp-content/uploads/GAA/GAA2026/DBM-OFFICIAL-GAZETTE-FY-2026_VOLUME-1-C.pdf
FY2026|concrete road|Sta. 2+800-6+861.15|Laco,,roads/bridges,"Barangay Laco, Kabugao, Apayao",2026,not stated,https://www.dbm.gov.ph/wp-content/uploads/GAA/GAA2026/DBM-OFFICIAL-GAZETTE-FY-2026_VOLUME-1-C.pdf
